IliasGlory,Si toi aussi tu attends la bande annonce de #StarWarsTheForceAwakens,
RavenPomme,Ok donc je vais devoir devenir momentanément aveugle concernant #StarWarsTheForceAwakens. Je... ON PEUT ÊTRE EN DÉCEMBRE SVP?!,
tom_fori,@bartosgyorgy #StarWarsTheForceAwakens #TIEfighter #TIEfighter pew pew pew,
TheOneTrueJay,Am I the only one that thinks Disney is going a disservice to new #StarWarsTheForceAwakens movie by over-promoting it?,
SandraS47,The countdown has begun  #StarWarsTheForceAwakens  #MayTheForceBeWithYou #StarWars #StarWarsRebels #17december  #Denmark,
robertbartlett7,#StarWarsTheForceAwakens #tickets @cineworld #buzzing #colliderjedicouncil #bestmondayever!,
simonmenashy,#StarWarsTheForceAwakens: Tickets booked.,
markweir,#StarWarsTheForceAwakens tickets booked for Dublin because Belfast gave gave up their IMAX before it was cool.,
garyaknichols,@janecrier @starwars @StarWarsUK so excited for #TheForceAwakens #StarWarsTheForceAwakens #StarWars,
AlexMadden001,Who else is buying their #StarWarsTheForceAwakens tickets today?,
digistoryion,New #StarWarsTheForceAwakens poster begs the big question #WheresLuke?!! And note Rey's Padme resemblance..? @S_L_Allen,
DadoftheDecade,#StarWarsTheForceAwakens tickets on sale today!,
CBradderzlad,@BradleyTaylor91 IMAX tickets for #StarWarsTheForceAwakens are booked for 11:15am on Saturday 19th December can't wait ? #Xwing #TIEfighter,
Mattgeekpride,Force awakens tickets booked.. Midnight showing!! #StarWarsTheForceAwakens,
LeistonFilm,@DCM_cinema_news we've been busy selling tickets for it all morning! #LeistonFilmTheatre #StarWarsTheForceAwakens,
Wellganeo,@Fabien_R94 #StarWarsTheForceAwakens,
oOkeiboOo,Nouvelle affiche trailer à venir hype over the top... Je vais allé reserver mes places pour #StarWarsTheForceAwakens #fan #geek,
CarlosOsuna94,Pues ya tengo mi entrada para Star Wars modo espera friki ON #StarWarsTheForceAwakens #estreno #quelafuerzateacompañe,
Arnaaud91,Je veux la bande annonce #starWars #C3po #StarWarsTheForceAwakens,
Chloe_Melas,Catch me on @PIX11News with some big #StarWarsTheForceAwakens news in a few mins!,
bradpower,With the amount of fan and media energy behind #StarWarsTheForceAwakens it might be sold out everywhere for months.,
Pauluskupa,Billets réservés pour #StarWarsTheForceAwakens le 16 décembre. Merci @caroducat !,
CBradderzlad,booked @ManchesterImax tickets for #StarWarsTheForceAwakens at @The_Printworks @ManchesterImax for Saturday 19th December at 11:15am ?,
Petervanhall129,#StarWarsTheForceAwakens on en parle  beaucoup  et le fameux  21 octobre 2015 #BackToTheFuture  be prepared,
pandablogi,Onneksi näen Lukea. Mahtavaa viestintää @Finnkino_FI some-jedit #StarWarsTheForceAwakens #finnkino #hyvääviestintää,
dips1,Just got my #StarWarsTheForceAwakens tickets,
Introvata,In una mattina sono arrivati i biglietti del #LuccaCG15 e ho preso i biglietti per #StarWarsTheForceAwakens ora posso anche tornare a casa.,
brasco_lounge,@VegAtheist Monday morning lattes are essential! Only 59 more days to wait until the real thing #StarWarsTheForceAwakens,
ainohei,Multa oli mennyt ihan ohi että on edes tulossa joku #StarWarsTheForceAwakens. Kiitos pikkuveljen nyt mulla on kuitenkin liput ensi-iltaan.,
margauxdsry,#StarWarsTheForceAwakens jvais mendier mon frère pour voir star wars au grand rex,
Jahngo,Cuando uno ya tiene las entradas de #StarWarsTheForceAwakens ya puede respirar tranquilo. Nos vemos el 18 en @Cines_Kinepolis #FreakShow,
Boubou93220,Jvais réserver mes places #StarWarsTheForceAwakens,
inesgervasio,Yeaaah! Consegui reservar bilhetes para o #StarWarsTheForceAwakens na sala imax dia 18 Dez!!!! Agora é contar os dias :),
Lepief,ya salio???? el nuevo teaser de #StarWarsTheForceAwakens,
nickjjoy,All booked for #StarWarsTheForceAwakens @IMAX opening night @ODEONCinemas Cardiff. Best fire up my #TIEfighter,
dumdumgurrl,That's my brother's and my tickets booked for #StarWarsTheForceAwakens ?,
pabloburgos,Hoy parte la preventa de entradas para #StarWarsTheForceAwakens no compro una preventa para el cine desde TDKR ? #ñoñoencubierto #nerd,
MiskaFredman,Tickets for #StarWarsTheForceAwakens - done!,
Estoule_,"The force is strong in my family. My father has it. I have it. My sister has it. You have that power too." #StarWarsTheForceAwakens,
JoeyvanAwesome,HALLO @Pathe! EEN GEINTJE IS LEUK MAAR IK WIL NU GODVER WEL GEWOON MIJN KAARTEN VOOR STAR WARS KUNNEN KOPEN! #StarWarsTheForceAwakens,
ianmcmahon15,New Star Wars trailer up tonight I can't wait also new Gotham.#Gotham #StarWarsTheForceAwakens,
pepegg33,Se agotaron los boletos para la premiere de "Star Wars: The Force Awakens"... Yo ya tengo el mio con @Cinepolis ? #StarWarsTheForceAwakens,
Skrouga,Les gens se réveillent un jour en retard pour parler de #StarWarsTheForceAwakens.,
Zhang_xu_1995,wellwhat is popular twitters now? lets enjoy together #regulus #popular #twitter #StarWarsTheForceAwakens,
seminar_versuch,MSA-Seminar! #StarWarsTheForceAwakens,
EvanTurner09,No I can feel that realisation where you're developing a crush for a character you've yet to see what they're like #StarWarsTheForceAwakens,
Joan_LF,@Nicoandthebobos Elle va passer en boucle au Cinéma... Impossible d'y échapper. #StarWarsTheForceAwakens,
Manu_Von_Aparte,Ya eres mía entrada..#StarWarsTheForceAwakens,
ThompsonDaley,My amazing wife @SophiaDeBoise informed me a little while ago that she has booked #StarWarsTheForceAwakens  tickets already god I love her!!,
paulmiller1981,@ODEONCinemas cheers I've ordered my #StarWarsTheForceAwakens tickets just have to wait a little now lol,
Nodzx,C'est le trop le hype pour #StarWarsTheForceAwakens mais bon j'avoue que dans mon slip c'est l'éruption. Vivement Décembre ahaha!,
MenagerFabien,J'ai mes places!!! #SW7 #StarWarsTheForceAwakens,
cinematicapoca1,Wait...Drew Struzan DID NOT paint the Star Wars: The Force Awakens poster? that's what i like to call...bullshit. #StarWarsTheForceAwakens,
andrew_burnsred,Why isn't Luke on the new #StarWarsTheForceAwakens poster,
tomleaney,Anyone seen the size of the exhaust vent on the new death star?   Death star architects never learn! #StarWarsTheForceAwakens #giantwomprat,
DWilliam77,Plus qu'a attendre le 16 décembre maintenant #StarWarsTheForceAwakens,
KANGIN__Elf,A moins que M6 ou une autre chaine mette la trilogie et non la prélogie! #LT #StarWarsTheForceAwakens,
muffled_stoat,Might buy some #StarWarsTheForceAwakens tickets today.,
okkolicious,Preordered #StarWarsTheForceAwakens tickets... please don't suck please don't suck please don't suck please don't suck... #sequel-phobia,
MattJamesRoyle,What a stressful morning booking Star Wars tickets! Got em though! #StarWarsTheForceAwakens #StarWars,
Kornichon94,Billets pour #StarWarsTheForceAwakens en IMAX 3D réservés !! #hâte ! #fb,
MovieEmperor,Exciting day! #NewStarWarsTrailer #StarWarsTheForceAwakens tickets on sale!!,
Lunosorus,#StarWarsTheForceAwakens Viens on réserve nos places mtn ? @Bibichatek,
NFLPrints,Hoje tem NFL e ainda de quebra o trailer de #StarWarsTheForceAwakens no intervalo da partida na ESPN. É por esses motivos que amo a segunda!,
uaiteve,Hoje tem NFL e ainda de quebra o trailer de #StarWarsTheForceAwakens no intervalo da partida na ESPN. É por esses motivos que amo a segunda!,
KANGIN__Elf,Bon mission avant décembre montrer à ma mère la trilogie SW avant quelle voit #StarWarsTheForceAwakens,
Daniel___G,Got tickets for the midnight opening of Star Wars ???? #StarWars #StarWarsTheForceAwakens,
KamiKaxxe,Hoy sale el tercer tráiler de #StarWarsTheForceAwakens,
mrstanleytwit,@ODEONCinemas why is it not fixed yet!!!!!!!! #StarWarsTheForceAwakens #imax #tickets,
R2DToots,VIP seats for the premiere midnight showing of Star Wars ep.VII... Achievement: UNLOCKED.  #StarWarsTheForceAwakens,
Kev44600,Toute ma TL à déjà ses places pour #StarWarsTheForceAwakens à deux mois de la sortie. Qui disait que le film allait pas battre les records ?,
ChrisCooking,#election2015 #BlueJays #StarWarsTheForceAwakens  trailer... What a night ahead! #epic,
Panda_One__,je vais camper toute une nuit devant le cinéma #StarWarsTheForceAwakens,
gusgusbrown,I'm not going to buy the early release tickets to #StarWarsTheForceAwakens. Am I a bad person? I feel like this makes me a bad person.,
missuvi,got my tickets to #StarWarsTheForceAwakens ?,
Doomed2Tweet,#StarWarsTheForceAwakens tickets booked. #SPECTRE on Monday. Sweet,
BG2406,Karten für #StarWarsTheForceAwakens sind gekauft ?,
vramospereira,HOJE TEM TRAILER DE STAR WARS!!!! #StarWarsTheForceAwakens,
Enyonix,3 hours of hell online trying to book tickets for #StarWarsTheForceAwakens ended up going to my local theatre box office.,
monikitika,Ya tengo mis entradas para #StarWarsTheForceAwakens :D Vamos @VioDopamina @Juanma_Ruiz !!!!! :D :D,
_iKaramba_,Mdr c'est vrai #StarWarsTheForceAwakens va falloir y aller en avance pour pas avoir trop de queue ?,
OwenNicholls,Got my IMAX midnight #StarWarsTheForceAwakens tickets. Like the massive geek I am. Now to work on my Padme costume.,
SantaCruuuzah,THE FORCE AWAKENS POSTER OMGGGG #StarWarsTheForceAwakens,
Holy__Mutant,#StarWarsTheForceAwakens,
LeivaLeivaro,Noooooo ?????? mañana parte la  venta de entradas de #StarWarsTheForceAwakens !!!!!! ????????????????????????????,
Wyattrocks,I have a ticket for Midnight and a ticket for 1015am. Please don't be shit. #StarWarsTheForceAwakens,
dougierobertson,#StarWarsTheForceAwakens tickets booked for 17th December midnight showing! Cannot wait #excited #StarWars,
Gaetana_,Dat je tickets wil kopen voor #StarWarsTheForceAwakens maar je met je pa gaat en hij in Kroatië zit en je niet weet of hij dan wel kan en,
JOP_95,WHERE IS LUC ON THE POSTER THO #StarWarsTheForceAwakens,
Jassassino,Just went and booked midnight tickets to #StarWarsTheForceAwakens didn't I? #StarWars # hyped #AF,
ollygosling,Capable servers. Useful updates. Users of the @BFI / @ODEONCinemas booking website must crave not these things... #StarWarsTheForceAwakens,
pleasepizzame,Biglietti per #StarWars prenotati. #ciaone #StarWarsTheForceAwakens,
Chomeur_Du_Net,J'ai hâte de voir #StarWarsTheForceAwakens ! Le problème c'est que je fais 1m20 et que les salles vont être pleines pendant 2 mois...,
RummazKnowsBest,Booked for #StarWarsTheForceAwakens on opening day only took about 30-40 minutes...,
Dotschko,Error Code: CM-OFF seems to be the code of the day. Starting to run out of force guys. #StarWarsTheForceAwakens @ODEONHelp @bmi @IMAX,
dixxmerhalder,Avant la sortie j'vais me retaper tout les star wars que la force soit avec moi  #StarWarsTheForceAwakens,
RealKingOfNope,#StarWarsTheForceAwakens Literally dying for the new trailer!!,
Cristonator,Lo mejor que le puede pasar a #StarWarsTheForceAwakens es que sea un truño. Así se convertiría en clásico de culto.,
PhillipPage1,#StarWarsTheForceAwakens IMAX tickets booked!,
shadyskians,#StarWars #StarWarsTheForceAwakens,
Digisplit,Place pour #StarWarsTheForceAwakens le 16/12 à 22h réservée ??,
sara_sgm,Really excited just for the fact that I'm buying tickets for #StarWarsTheForceAwakens !!! Ahhhh!!!! Not a fan of watching it in 3D though!,
darknoron1,Faut que je me regarde à nouveau les six épisodes avant décembre afin d'être prêt pour la sortie de #StarWarsTheForceAwakens,
KANGIN__Elf,#StarWarsTheForceAwakens je met ce hashtag juste pour voir BB-8.,
brockkenzler,If my research is correct the Star Wars trailer should be out for us Brisbane folk at about 11:45 am tomorrow. #StarWarsTheForceAwakens,
INYOURBRAIN2,Mouton spirit activated #StarWarsTheForceAwakens,
Nathaliie22,Ben ik even blij dat ik er op tijd bij was voor tickets! @Pathe #TheForceAwakens #StarWarsTheForceAwakens,
lightingshuux,#StarWarsTheForceAwakens I'M SO IMPATIENT !!,
Jordrocgo95,Impresionante el hype que tiene la gente por #StarWarsTheForceAwakens,
EddiesTPWorld,My love life is like Alderaan it was destroyed by the dark side #StarWarsTheForceAwakens,
dannyp35,#StarWarsTheForceAwakens tickets booked ?? #milleniumfalcon #Xwing #TIEfighter,
T1mmyg,#StarWarsTheForceAwakens tickets booked for midnight release :D The hype is real!,
BobaVoll,I'm ready! Tickets for midnight viewing and another set for the evening on the release date. WOOW. #StarWarsTheForceAwakens,
stuaustin1973,@Schofe @itvthismorning full StarWars clip tomorrow I am so happy my seat it wet .........lol. #StarWarsTheForceAwakens,
AnthonyPoulain,Places réservées pour le 16 décembre au Grand Rex l'endroit parfait pour regarder un tel film. Trop hâte ! #StarWarsTheForceAwakens,
bartosgyorgy,#StarWarsTheForceAwakens  emoji war on! #MillenniumFalcon  @tom_fori  your move,
ilVettoJr,BIGLIETTI PRESI!! #StarWarsTheForceAwakens,
jborrego,Es alucinante la estrategia de marketing contenido que está siguiendo Disney con #StarWarsTheForceAwakens y lo efectiva que a mi juicio es,
rogue_eight,Congratulations @ODEONCinemas for epic web fail. Just lost £50 of business to rivals whose sites actually work #StarWarsTheForceAwakens,
charlotte_moyse,place réservée pour  #StarWarsTheForceAwakens en 3D,
Cras1199,@Cras1199 #StarWars #StarWarsTheForceAwakens,
kuroskin,The only thing I care about this week is the #StarWarsTheForceAwakens trailer.,
yeoldefan,Tonight will be the first time I'm legitimately excited to watch football #StarWarsTheForceAwakens #StarWars,
JorgeFdezCC,Os voy a contar un secreto: ya tengo mi entrada para el preestreno de @starwars. Más contento que unas castañuelas #StarWarsTheForceAwakens,
j_marco22,Une affiche qui déchire une bande annonce finale et une énorme impatience c'est quoi ? C'est #StarWarsTheForceAwakens ! Hâte !!,
LeonSinuoso,Me pongo nervioso al saber que ya falta poco para diciembre #StarWarsTheForceAwakens,
covenantcomics,Star Wars:The Force Awakens Tickets BOOKED!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!! #StarWars #StarWarsTheForceAwakens,
dandywbafc,#StarWarsTheForceAwakens literally can't wait,
ImSigal,can these #StarWarsTheForceAwakens tickets go on sale already ????,
BHillMedia,Just booked 2D midnight on the 16th then 3D IMAX at 16:30 on the 17th.  This is actually going to happen... #StarWarsTheForceAwakens,
Pierre_Bnh,Les gens devient tous tarés car il y a pas Luke sur l'affiche. Juste pour ça ? C'est sérieux ? #StarWarsTheForceAwakens,
HCMovieReviews,In other more pleasing news - I got my tickets booked for the midnight screening of #StarWarsTheForceAwakens Cheers @moviehouseni,
emaiswonderful,Place réservée !!!!!! #StarWarsTheForceAwakens,
Ginger_Ketchup,@aethercrayons lightsabers and blasters for everyone. Everyooooone #StarWarsTheForceAwakens,
missiong08,So excited for the new #StarWarsTheForceAwakens trailer... I peed a little!,
lindascannell,Today is the first time I've ever bought cinema tickets 2 months in advance!! #StarWarsTheForceAwakens,
dips1,#StarWarsTheForceAwakens star tickets now available at da boxoffice,
